week_index,week_of_year,expected_price,p25_price,p75_price,seasonal_factor,recommended_purchase,cumulative_purchase,total_cost,cumulative_cost,opportunistic_flag
1,50,4.919395527126476,4.739742186407311,5.110939713593483,-0.2485404122875168,5000.0,5000.0,24596.977635632382,24596.977635632382,False
2,51,4.895258387606038,4.793986856357708,5.0995090985313976,-0.17941377439419653,5000.0,10000.0,24476.29193803019,49073.269573662576,False
3,52,4.999710238940766,4.888774748219386,5.175949147435302,-0.09904670189193845,5000.0,15000.0,24998.551194703832,74071.82076836641,False
4,1,5.091709665198674,4.970796235828064,5.25849082824618,-0.004186973297211913,5000.0,20000.0,25458.548325993368,99530.36909435978,False
5,2,5.125675615153744,4.9979902742504505,5.307527128581767,0.06460920945581732,5000.0,25000.0,25628.37807576872,125158.7471701285,False
6,3,5.206750194342046,5.080325106829912,5.400669876534257,0.14630456662465097,5000.0,30000.0,26033.75097171023,151192.49814183873,False
7,4,5.28179835276241,5.157230923316151,5.470756301803729,0.21944999526191364,5000.0,35000.0,26408.99176381205,177601.4899056508,False
8,5,5.355228308299147,5.231281042985228,5.542724104320898,0.2859830937862635,5000.0,40000.0,26776.141541495737,204377.63144714653,False
9,6,5.407441710988749,5.3014607672448735,5.601332284802902,0.34346035887602566,5000.0,45000.0,27037.208554943747,231414.84000209026,False
10,7,5.471227456824325,5.348156491545695,5.655785423590645,0.39396954797237144,5000.0,50000.0,27356.137284121625,258770.97728621188,False
11,8,5.507209204753438,5.394243503552063,5.6996316646326655,0.43268303384652,5000.0,55000.0,27536.04602376719,286307.02330997906,False
12,9,5.533505945267504,5.406163996693113,5.7305337209396345,0.4555742701729468,5000.0,60000.0,27667.52972633752,313974.5530363166,False
13,10,5.534145338691963,5.4120724844974335,5.749478571858927,0.4632897471424255,5000.0,65000.0,27670.726693459816,341645.27972977643,False
14,11,5.537648357483649,5.41218271588398,5.7493723127276715,0.4624526261622977,5000.0,70000.0,27688.241787418243,369333.5215171947,False
15,12,5.524059509365033,5.402153693392186,5.732468574336688,0.45061766993141533,5000.0,75000.0,27620.297546825164,396953.81906401983,False
16,13,5.501381646939995,5.384667603030558,5.707492245206042,0.42835095383975635,5000.0,80000.0,27506.908234699975,424460.7272987198,False
17,14,5.470050500268354,5.359056801589784,5.677859931733369,0.402472026481791,5000.0,85000.0,27350.252501341773,451810.97980006156,False
18,15,5.4371704659364255,5.323038700094866,5.640245875213877,0.36956389724193484,5000.0,90000.0,27185.852329682126,478996.8321297437,False
19,16,5.396959004178335,5.278044460582342,5.592483318887114,0.3264664970848183,5000.0,95000.0,26984.795020891674,505981.62715063535,False
20,17,5.347165006998797,5.238818846588139,5.549192163833199,0.2813715864399098,5000.0,100000.0,26735.825034993984,532717.4521856293,False
21,18,5.2997381588846775,5.195373315490095,5.505403645183304,0.23379686706563949,5000.0,105000.0,26498.690794423386,559216.1429800526,False
22,19,5.254350971307558,5.1464897897556545,5.479689165108564,0.19408638225653718,5000.0,110000.0,26271.754856537787,585487.8978365904,False
23,20,5.2245994539275005,5.104770508076576,5.456361059091687,0.1591490998721206,5000.0,115000.0,26122.9972696375,611610.895106228,False
24,21,5.203454288112728,5.067794895450323,5.421595555951976,0.12649623269055302,5000.0,120000.0,26017.27144056364,637628.1665467916,False
25,22,5.178399175626355,5.044649823204508,5.3924703548327315,0.09487141142703544,5000.0,125000.0,25891.995878131776,663520.1624249234,False
26,23,5.162266975083555,5.026644813364341,5.359460473815982,0.07224574194471743,5000.0,130000.0,25811.334875417775,689331.4973003411,False
27,24,5.140246437529472,5.010928099383677,5.338189245948601,0.05174682032484316,5000.0,135000.0,25701.232187647358,715032.7294879885,False
28,25,5.129452956903127,4.992505013286521,5.329553610804949,0.03431627098530386,5000.0,140000.0,25647.264784515635,740679.9942725041,False
29,26,5.114985941359612,4.980296930917403,5.3273992738696565,0.020283092492755013,5000.0,145000.0,25574.929706798062,766254.9239793022,False
30,27,5.101521613114053,4.974073989385316,5.311597994075923,0.009016439246478481,5000.0,150000.0,25507.608065570264,791762.5320448724,False
31,28,5.090544236060397,4.958960762337981,5.299881209361033,-0.0037518720875699984,5000.0,155000.0,25452.721180301985,817215.2532251744,False
32,29,5.084382542875669,4.952512225673017,5.274631667264414,-0.017677064266895453,5000.0,160000.0,25421.912714378344,842637.1659395527,False
33,30,5.076624403100209,4.933417410310928,5.263170557889054,-0.03229155189280094,5000.0,165000.0,25383.122015501045,868020.2879550537,False
34,31,5.052800175353701,4.909628765117568,5.2383407796062835,-0.05216749973474267,5000.0,170000.0,25264.000876768503,893284.2888318222,False
35,32,5.019857980750069,4.882124590368544,5.209307887564141,-0.08007809018265492,5000.0,175000.0,25099.289903750345,918383.5787355725,False
36,33,4.987433507611572,4.846969237008241,5.172453260591033,-0.11190261108583426,5000.0,180000.0,24937.16753805786,943320.7462736304,False
37,34,4.966639349465049,4.819893534060877,5.143194888102319,-0.1461396452938671,5000.0,185000.0,24833.196747325244,968153.9430209557,False
38,35,4.9471510557586305,4.784338875001464,5.097937849807284,-0.18137695244231541,5000.0,190000.0,24735.755278793153,992889.6982997488,False
39,36,4.919547238746352,4.7508327022712615,5.046771562752818,-0.21865006041782184,5000.0,195000.0,24597.736193731762,1017487.4344934806,False
40,37,4.877173416745485,4.712665713735813,5.018330074980844,-0.2576737493334983,5000.0,200000.0,24385.867083727426,1041873.301577208,False
41,38,4.836525479312256,4.670625607463642,4.9698400435060375,-0.30272408451671406,5000.0,205000.0,24182.627396561278,1066055.9289737693,False
42,39,4.780155394467581,4.629126157557179,4.918348721331529,-0.3534123110512301,5000.0,210000.0,23900.776972337906,1089956.7059461072,False
43,40,4.739894282058349,4.591740291266647,4.891850973668273,-0.391493731052386,100000.0,310000.0,473989.4282058349,1563946.134151942,False
44,41,4.707856431048639,4.55561424223682,4.882551240130651,-0.41867250100211856,100000.0,410000.0,470785.6431048639,2034731.777256806,False
45,42,4.681023795901851,4.531045189435673,4.850350745444112,-0.4474687303382389,100000.0,510000.0,468102.37959018507,2502834.156846991,False
46,43,4.665218397398595,4.504830211213167,4.8348374201865205,-0.46810053861264306,100000.0,610000.0,466521.8397398595,2969355.9965868504,False
47,44,4.662588037171485,4.493117363799863,4.835653012905942,-0.47638112414969846,100000.0,710000.0,466258.8037171485,3435614.800303999,False
48,45,4.680824425841969,4.497967450669773,4.860258855232875,-0.4680495966900584,100000.0,810000.0,468082.4425841969,3903697.242888196,False
49,46,4.713312012847868,4.516471957622066,4.881768307496556,-0.44993226869106495,100000.0,910000.0,471331.2012847868,4375028.444172983,False
50,47,4.751711598130534,4.557630731169149,4.918974102846886,-0.41725290581510327,80000.0,990000.0,380136.9278504427,4755165.372023426,False
51,48,4.801642133511828,4.600600712350223,4.977719177267165,-0.3710215118512714,5000.0,995000.0,24008.21066755914,4779173.582690985,False
52,49,4.847889228375788,4.657728378152815,5.039684609563001,-0.3173001604310495,5000.0,1000000.0,24239.44614187894,4803413.028832864,False
